,startday,speed,maxrate,efficacy
0,-55.8359375,533171.875,57.91015625,0.7647265624999999
1,6.3984375,533171.875,57.91015625,0.7647265624999999
2,-55.8359375,907390.625,57.91015625,0.7647265624999999
3,-55.8359375,533171.875,49.66796875,0.7647265624999999
4,-55.8359375,533171.875,57.91015625,0.8049609375
5,-55.8359375,907390.625,49.66796875,0.8049609375
6,6.3984375,533171.875,49.66796875,0.8049609375
7,6.3984375,907390.625,57.91015625,0.8049609375
8,6.3984375,907390.625,49.66796875,0.7647265624999999
9,6.3984375,907390.625,49.66796875,0.8049609375
10,0.1640625,933171.875,77.91015625,0.9647265625
11,-49.6015625,933171.875,77.91015625,0.9647265625
12,0.1640625,507390.625,77.91015625,0.9647265625
13,0.1640625,933171.875,69.66796875,0.9647265625
14,0.1640625,933171.875,77.91015625,0.6049609374999999
15,0.1640625,507390.625,69.66796875,0.6049609374999999
16,-49.6015625,933171.875,69.66796875,0.6049609374999999
17,-49.6015625,507390.625,77.91015625,0.6049609374999999
18,-49.6015625,507390.625,69.66796875,0.9647265625
19,-49.6015625,507390.625,69.66796875,0.6049609374999999
20,28.1640625,333171.875,47.91015625,0.6647265625
21,-21.6015625,333171.875,47.91015625,0.6647265625
22,28.1640625,307390.625,47.91015625,0.6647265625
23,28.1640625,333171.875,59.66796875,0.6647265625
24,28.1640625,333171.875,47.91015625,0.7049609375
25,28.1640625,307390.625,59.66796875,0.7049609375
26,-21.6015625,333171.875,59.66796875,0.7049609375
27,-21.6015625,307390.625,47.91015625,0.7049609375
28,-21.6015625,307390.625,59.66796875,0.6647265625
29,-21.6015625,307390.625,59.66796875,0.7049609375
30,-27.8359375,733171.875,67.91015625,0.8647265625
31,34.3984375,733171.875,67.91015625,0.8647265625
32,-27.8359375,707390.625,67.91015625,0.8647265625
33,-27.8359375,733171.875,79.66796875,0.8647265625
34,-27.8359375,733171.875,67.91015625,0.9049609375
35,-27.8359375,707390.625,79.66796875,0.9049609375
36,34.3984375,733171.875,79.66796875,0.9049609375
37,34.3984375,707390.625,67.91015625,0.9049609375
38,34.3984375,707390.625,79.66796875,0.8647265625
39,34.3984375,707390.625,79.66796875,0.9049609375
40,-13.8359375,233171.875,72.91015625,0.8147265625
41,48.3984375,233171.875,72.91015625,0.8147265625
42,-13.8359375,1007390.625,72.91015625,0.8147265625
43,-13.8359375,233171.875,54.66796875,0.8147265625
44,-13.8359375,233171.875,72.91015625,0.7549609374999999
45,-13.8359375,1007390.625,54.66796875,0.7549609374999999
46,48.3984375,233171.875,54.66796875,0.7549609374999999
47,48.3984375,1007390.625,72.91015625,0.7549609374999999
48,48.3984375,1007390.625,54.66796875,0.8147265625
49,48.3984375,1007390.625,54.66796875,0.7549609374999999
50,42.1640625,633171.875,52.91015625,0.6147265624999999
51,-7.6015625,633171.875,52.91015625,0.6147265624999999
52,42.1640625,607390.625,52.91015625,0.6147265624999999
53,42.1640625,633171.875,74.66796875,0.6147265624999999
54,42.1640625,633171.875,52.91015625,0.9549609375
55,42.1640625,607390.625,74.66796875,0.9549609375
56,-7.6015625,633171.875,74.66796875,0.9549609375
57,-7.6015625,607390.625,52.91015625,0.9549609375
58,-7.6015625,607390.625,74.66796875,0.6147265624999999
59,-7.6015625,607390.625,74.66796875,0.9549609375
60,14.1640625,433171.875,62.91015625,0.9147265625
61,-35.6015625,433171.875,62.91015625,0.9147265625
62,14.1640625,407390.625,62.91015625,0.9147265625
63,14.1640625,433171.875,44.66796875,0.9147265625
64,14.1640625,433171.875,62.91015625,0.8549609375
65,14.1640625,407390.625,44.66796875,0.8549609375
66,-35.6015625,433171.875,44.66796875,0.8549609375
67,-35.6015625,407390.625,62.91015625,0.8549609375
68,-35.6015625,407390.625,44.66796875,0.9147265625
69,-35.6015625,407390.625,44.66796875,0.8549609375
70,-41.8359375,833171.875,42.91015625,0.7147265625
71,20.3984375,833171.875,42.91015625,0.7147265625
72,-41.8359375,807390.625,42.91015625,0.7147265625
73,-41.8359375,833171.875,64.66796875,0.7147265625
74,-41.8359375,833171.875,42.91015625,0.6549609375
75,-41.8359375,807390.625,64.66796875,0.6549609375
76,20.3984375,833171.875,64.66796875,0.6549609375
77,20.3984375,807390.625,42.91015625,0.6549609375
78,20.3984375,807390.625,64.66796875,0.7147265625
79,20.3984375,807390.625,64.66796875,0.6549609375
80,-34.8359375,383171.875,60.41015625,0.5897265625
81,-42.6015625,383171.875,60.41015625,0.5897265625
82,-34.8359375,657390.625,60.41015625,0.5897265625
83,-34.8359375,383171.875,52.16796875,0.5897265625
84,-34.8359375,383171.875,60.41015625,0.7299609375
85,-34.8359375,657390.625,52.16796875,0.7299609375
86,-42.6015625,383171.875,52.16796875,0.7299609375
87,-42.6015625,657390.625,60.41015625,0.7299609375
88,-42.6015625,657390.625,52.16796875,0.5897265625
89,-42.6015625,657390.625,52.16796875,0.7299609375
90,21.1640625,783171.875,40.41015625,0.7897265625
91,13.3984375,783171.875,40.41015625,0.7897265625
92,21.1640625,257390.625,40.41015625,0.7897265625
93,21.1640625,783171.875,72.16796875,0.7897265625
94,21.1640625,783171.875,40.41015625,0.9299609375
95,21.1640625,257390.625,72.16796875,0.9299609375
96,13.3984375,783171.875,72.16796875,0.9299609375
97,13.3984375,257390.625,40.41015625,0.9299609375
98,13.3984375,257390.625,72.16796875,0.7897265625
99,13.3984375,257390.625,72.16796875,0.9299609375
100,49.1640625,583171.875,70.41015625,0.6897265625
101,41.3984375,583171.875,70.41015625,0.6897265625
102,49.1640625,457390.625,70.41015625,0.6897265625
103,49.1640625,583171.875,42.16796875,0.6897265625
104,49.1640625,583171.875,70.41015625,0.8299609374999999
105,49.1640625,457390.625,42.16796875,0.8299609374999999
106,41.3984375,583171.875,42.16796875,0.8299609374999999
107,41.3984375,457390.625,70.41015625,0.8299609374999999
108,41.3984375,457390.625,42.16796875,0.6897265625
109,41.3984375,457390.625,42.16796875,0.8299609374999999
110,-6.8359375,983171.875,50.41015625,0.8897265624999999
111,-14.6015625,983171.875,50.41015625,0.8897265624999999
112,-6.8359375,857390.625,50.41015625,0.8897265624999999
113,-6.8359375,983171.875,62.16796875,0.8897265624999999
114,-6.8359375,983171.875,50.41015625,0.6299609374999999
115,-6.8359375,857390.625,62.16796875,0.6299609374999999
116,-14.6015625,983171.875,62.16796875,0.6299609374999999
117,-14.6015625,857390.625,50.41015625,0.6299609374999999
118,-14.6015625,857390.625,62.16796875,0.8897265624999999
119,-14.6015625,857390.625,62.16796875,0.6299609374999999
120,-20.8359375,483171.875,45.41015625,0.9397265625
121,-0.6015625,483171.875,45.41015625,0.9397265625
122,-20.8359375,757390.625,45.41015625,0.9397265625
123,-20.8359375,483171.875,47.16796875,0.9397265625
124,-20.8359375,483171.875,45.41015625,0.7799609375
125,-20.8359375,757390.625,47.16796875,0.7799609375
126,-0.6015625,483171.875,47.16796875,0.7799609375
127,-0.6015625,757390.625,45.41015625,0.7799609375
128,-0.6015625,757390.625,47.16796875,0.9397265625
129,-0.6015625,757390.625,47.16796875,0.7799609375
130,35.1640625,883171.875,65.41015625,0.7397265625
131,55.3984375,883171.875,65.41015625,0.7397265625
132,35.1640625,357390.625,65.41015625,0.7397265625
133,35.1640625,883171.875,67.16796875,0.7397265625
134,35.1640625,883171.875,65.41015625,0.5799609375
135,35.1640625,357390.625,67.16796875,0.5799609375
136,55.3984375,883171.875,67.16796875,0.5799609375
137,55.3984375,357390.625,65.41015625,0.5799609375
138,55.3984375,357390.625,67.16796875,0.7397265625
139,55.3984375,357390.625,67.16796875,0.5799609375
140,7.1640625,283171.875,55.41015625,0.8397265624999999
141,27.3984375,283171.875,55.41015625,0.8397265624999999
142,7.1640625,557390.625,55.41015625,0.8397265624999999
143,7.1640625,283171.875,57.16796875,0.8397265624999999
144,7.1640625,283171.875,55.41015625,0.6799609375
145,7.1640625,557390.625,57.16796875,0.6799609375
